time,temperature_2m
2023-05-12T00:00,23.1
2023-05-12T01:00,23.1
2023-05-12T02:00,22.7
2023-05-12T03:00,22.6
2023-05-12T04:00,22.5
2023-05-12T05:00,22.4
2023-05-12T06:00,22.4
2023-05-12T07:00,22.3
2023-05-12T08:00,22.2
2023-05-12T09:00,22.2
2023-05-12T10:00,22.2
2023-05-12T11:00,22.2
2023-05-12T12:00,22.1
2023-05-12T13:00,21.8
2023-05-12T14:00,21.5
2023-05-12T15:00,21.7
2023-05-12T16:00,21.7
2023-05-12T17:00,21.5
2023-05-12T18:00,21.1
2023-05-12T19:00,20.9
2023-05-12T20:00,20.9
2023-05-12T21:00,21.0
2023-05-12T22:00,21.1
2023-05-12T23:00,21.0
2023-05-13T00:00,20.9
2023-05-13T01:00,20.9
2023-05-13T02:00,20.8
2023-05-13T03:00,20.7
2023-05-13T04:00,20.6
2023-05-13T05:00,20.6
2023-05-13T06:00,20.7
2023-05-13T07:00,20.8
2023-05-13T08:00,21.1
2023-05-13T09:00,21.5
2023-05-13T10:00,21.6
2023-05-13T11:00,22.1
2023-05-13T12:00,22.7
2023-05-13T13:00,23.3
2023-05-13T14:00,23.4
2023-05-13T15:00,23.3
2023-05-13T16:00,23.3
2023-05-13T17:00,23.1
2023-05-13T18:00,22.8
2023-05-13T19:00,22.7
2023-05-13T20:00,22.6
2023-05-13T21:00,22.5
2023-05-13T22:00,22.4
2023-05-13T23:00,22.2
2023-05-14T00:00,22.2
2023-05-14T01:00,22.1
2023-05-14T02:00,22.0
2023-05-14T03:00,21.9
2023-05-14T04:00,21.8
2023-05-14T05:00,21.7
2023-05-14T06:00,21.5
2023-05-14T07:00,22.0
2023-05-14T08:00,22.5
2023-05-14T09:00,23.7
2023-05-14T10:00,24.9
2023-05-14T11:00,25.9
2023-05-14T12:00,27.0
2023-05-14T13:00,27.6
2023-05-14T14:00,27.7
2023-05-14T15:00,28.2
2023-05-14T16:00,28.2
2023-05-14T17:00,27.7
2023-05-14T18:00,27.0
2023-05-14T19:00,25.9
2023-05-14T20:00,25.6
2023-05-14T21:00,24.9
2023-05-14T22:00,24.5
2023-05-14T23:00,24.2
2023-05-15T00:00,23.9
2023-05-15T01:00,23.8
2023-05-15T02:00,23.7
2023-05-15T03:00,23.5
2023-05-15T04:00,23.5
2023-05-15T05:00,23.4
2023-05-15T06:00,23.5
2023-05-15T07:00,23.9
2023-05-15T08:00,24.5
2023-05-15T09:00,25.2
2023-05-15T10:00,26.1
2023-05-15T11:00,26.6
2023-05-15T12:00,27.1
2023-05-15T13:00,27.7
2023-05-15T14:00,28.3
2023-05-15T15:00,29.0
2023-05-15T16:00,29.4
2023-05-15T17:00,29.1
2023-05-15T18:00,28.3
2023-05-15T19:00,27.4
2023-05-15T20:00,26.9
2023-05-15T21:00,26.4
2023-05-15T22:00,25.9
2023-05-15T23:00,25.6
2023-05-16T00:00,25.4
2023-05-16T01:00,25.3
2023-05-16T02:00,25.2
2023-05-16T03:00,25.2
2023-05-16T04:00,25.3
2023-05-16T05:00,25.5
2023-05-16T06:00,25.8
2023-05-16T07:00,26.7
2023-05-16T08:00,28.0
2023-05-16T09:00,29.7
2023-05-16T10:00,31.9
2023-05-16T11:00,33.2
2023-05-16T12:00,34.5
2023-05-16T13:00,35.7
2023-05-16T14:00,36.2
2023-05-16T15:00,36.3
2023-05-16T16:00,35.7
2023-05-16T17:00,34.4
2023-05-16T18:00,32.5
2023-05-16T19:00,30.3
2023-05-16T20:00,29.3
2023-05-16T21:00,28.7
2023-05-16T22:00,28.1
2023-05-16T23:00,27.7
2023-05-17T00:00,27.4
2023-05-17T01:00,27.1
2023-05-17T02:00,27.1
2023-05-17T03:00,26.7
2023-05-17T04:00,26.5
2023-05-17T05:00,26.7
2023-05-17T06:00,27.2
2023-05-17T07:00,28.5
2023-05-17T08:00,30.1
2023-05-17T09:00,32.0
2023-05-17T10:00,34.6
2023-05-17T11:00,36.2
2023-05-17T12:00,37.6
2023-05-17T13:00,39.1
2023-05-17T14:00,39.9
2023-05-17T15:00,40.4
2023-05-17T16:00,40.0
2023-05-17T17:00,38.2
2023-05-17T18:00,35.6
2023-05-17T19:00,32.6
2023-05-17T20:00,31.3
2023-05-17T21:00,30.4
2023-05-17T22:00,29.5
2023-05-17T23:00,28.9
2023-05-18T00:00,28.5
2023-05-18T01:00,28.0
2023-05-18T02:00,27.6
2023-05-18T03:00,27.2
2023-05-18T04:00,27.1
2023-05-18T05:00,27.4
2023-05-18T06:00,27.9
2023-05-18T07:00,29.1
2023-05-18T08:00,30.7
2023-05-18T09:00,32.8
2023-05-18T10:00,35.3
2023-05-18T11:00,36.9
2023-05-18T12:00,38.3
2023-05-18T13:00,39.5
2023-05-18T14:00,40.0
2023-05-18T15:00,40.1
2023-05-18T16:00,39.4
2023-05-18T17:00,37.8
2023-05-18T18:00,35.6
2023-05-18T19:00,32.9
2023-05-18T20:00,31.7
2023-05-18T21:00,30.7
2023-05-18T22:00,29.7
2023-05-18T23:00,29.1
